iter	Logloss
0	0.3591646905
1	0.1929017338
2	0.1016529063
3	0.05492663536
4	0.03177004848
5	0.02001338157
6	0.01377794126
7	0.009801189601
8	0.007493317283
9	0.006002273214
10	0.00492810282
11	0.004203187384
12	0.003828095904
13	0.003448465723
14	0.003259353846
15	0.003024497373
16	0.002893474906
17	0.002757574045
18	0.002649046624
19	0.002554272279
20	0.002472027565
21	0.002419709214
22	0.002336318534
23	0.002279858826
24	0.002259177175
25	0.002226926127
26	0.002205682965
27	0.002144570774
28	0.002132942653
29	0.002093962758
30	0.002074074117
31	0.002052824822
32	0.002041574996
33	0.002023036334
34	0.002010539872
35	0.001979049412
36	0.001937986303
37	0.001900321887
38	0.00186779812
39	0.001860407033
40	0.001845643999
41	0.001828568582
42	0.001807167776
43	0.001789246875
44	0.001777799251
45	0.001770146741
46	0.001754041182
47	0.001744109712
48	0.001731555602
49	0.001720468768
50	0.001711227913
51	0.001700839157
52	0.001695032977
53	0.001687627429
54	0.001676005852
55	0.001666752869
56	0.001662072539
57	0.001651668336
58	0.001635798573
59	0.001622083925
60	0.001616821786
61	0.00161201055
62	0.001605400097
63	0.001600228999
64	0.00159670882
65	0.001573702657
66	0.001557852817
67	0.001551616876
68	0.001541745668
69	0.001530074569
70	0.001523156488
71	0.001509754366
72	0.001496866285
73	0.001477617294
74	0.001469087045
75	0.0014644148
76	0.001457338048
77	0.00145194526
78	0.001444244182
79	0.001439003564
80	0.001433677331
81	0.001430656809
82	0.001421030429
83	0.001415390184
84	0.001401281985
85	0.00138392351
86	0.001379738566
87	0.001363225157
88	0.001358806056
89	0.001350495363
90	0.001343323045
91	0.001338695566
92	0.001331391258
93	0.001322375316
94	0.001318816614
95	0.001312804059
96	0.001310131469
97	0.001306150705
98	0.001293940884
99	0.001292716852
